Tanggal Order;Channel;Kategori Channel;Cust;Daerah;Provinsi;Pesanan;Kategori;Qty;Harga Jual;Harga setelah diskon;Total Diskon;Total Penjualan;Total
Sunday, 01 January 2023;Shopee;End User;emada20;BANYUWANGI;JAWA TIMUR;Dks Gaharu;Dupa Stik;1;16000;16000;0;16000;16000
Sunday, 01 January 2023;Shopee;End User;emada20;BANYUWANGI;JAWA TIMUR;Dks Melati;Dupa Stik;2;18000;18000;0;36000;36000
Sunday, 01 January 2023;Shopee;End User;midhaasyafii;KEDIRI;JAWA TIMUR;Dks Blue Flower;Dupa Stik;2;18000;18000;0;36000;36000
Friday, 06 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Gaharu;Dupa Stik;10;9000;9000;0;90000;90000
Friday, 06 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Baccarat;Dupa Stik;14;9000;9000;0;126000;126000
Friday, 06 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Lemontea;Dupa Stik;5;9000;9000;0;45000;45000
Friday, 06 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Vanilla;Dupa Stik;5;9000;9000;0;45000;45000
Friday, 06 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Sakura;Dupa Stik;16;9000;9000;0;144000;144000
Sunday, 08 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Blue Flower;Dupa Stik;20;9000;9000;0;180000;180000
Sunday, 08 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Abdi Dalem;Dupa Stik;15;9000;9000;0;135000;135000
Sunday, 08 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Cendana;Dupa Stik;15;9000;9000;0;135000;135000
Sunday, 08 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Melati;Dupa Stik;20;9000;9000;0;180000;180000
Sunday, 08 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Gaharu;Dupa Stik;15;9000;9000;0;135000;135000
Sunday, 08 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Lemontea;Dupa Stik;2;9000;9000;0;18000;18000
Sunday, 08 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Baccarat;Dupa Stik;5;9000;9000;0;45000;45000
Sunday, 08 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Vanilla;Dupa Stik;3;9000;9000;0;27000;27000
Sunday, 08 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dkk Cendana;Dupa Kerucut;5;14000;14000;0;70000;70000
Sunday, 08 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dkk Abdi Dalem;Dupa Kerucut;5;14000;14000;0;70000;70000
Sunday, 08 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dkk Blue Flower;Dupa Kerucut;5;14000;14000;0;70000;70000
Sunday, 08 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dkk Gaharu;Dupa Kerucut;5;14000;14000;0;70000;70000
Sunday, 08 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dkk Lemontea;Dupa Kerucut;5;14000;14000;0;70000;70000
Sunday, 08 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dkk Baccarat;Dupa Kerucut;5;14000;14000;0;70000;70000
Sunday, 08 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dkk Vanilla;Dupa Kerucut;5;14000;14000;0;70000;70000
Sunday, 08 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dkk Sakura;Dupa Kerucut;5;14000;14000;0;70000;70000
Wednesday, 11 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Lemontea;Dupa Stik;25;9000;9000;0;225000;225000
Wednesday, 11 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Baccarat;Dupa Stik;30;9000;9000;0;270000;270000
Wednesday, 11 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Vanilla;Dupa Stik;23;9000;9000;0;207000;207000
Wednesday, 11 January 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Sakura;Dupa Stik;22;9000;9000;0;198000;198000
Thursday, 12 January 2023;Offline;End User;Ulfa;MALANG;JAWA TIMUR;Dks Gaharu;Dupa Stik;1;9000;9000;0;9000;9000
Thursday, 12 January 2023;Offline;End User;Ulfa;MALANG;JAWA TIMUR;Dks Blue Flower;Dupa Stik;1;9000;9000;0;9000;9000
Thursday, 12 January 2023;Offline;End User;Ulfa;MALANG;JAWA TIMUR;Dks Abdi Dalem;Dupa Stik;1;9000;9000;0;9000;9000
Thursday, 12 January 2023;Offline;End User;Ulfa;MALANG;JAWA TIMUR;Dks Sakura;Dupa Stik;1;9000;9000;0;9000;9000
Thursday, 12 January 2023;Offline;End User;Ulfa;MALANG;JAWA TIMUR;Dks Vanilla;Dupa Stik;1;9000;9000;0;9000;9000
Saturday, 14 January 2023;Offline;End User;Bu De Adah;JAKARTA PUSAT;DKI JAKARTA;Dks Lemontea;Dupa Stik;10;9000;9000;0;90000;90000
