Tanggal Order;Channel;Kategori Channel;Cust;Kab/Kota;Provinsi;Pesanan;Kategori;Produk;Qty;Harga Jual;Harga setelah diskon;Total Diskon;Total Penjualan;Total;Anomaly_Flags;Is_Anomaly;Expected_Total_Penjualan;Expected_Total_Diskon;Duplicate_Group_Size;Sheet
01/01/2023;Shopee;End User;emada20;BANYUWANGI;JAWA TIMUR;DKS Gaharu;Dks Gaharu;Dupa Stik;1;16000;16000;0;16000;16000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
01/01/2023;Shopee;End User;emada20;BANYUWANGI;JAWA TIMUR;DKS Melati;Dks Melati;Dupa Stik;2;18000;18000;0;36000;36000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
01/01/2023;Shopee;End User;midhaasyafii;KEDIRI;JAWA TIMUR;DKS Blue Flower;Dks Blue Flower;Dupa Stik;2;18000;18000;0;36000;36000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
06/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKS Gaharu;Dks Gaharu;Dupa Stik;10;9000;9000;0;90000;90000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
06/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKS Baccarat;Dks Baccarat;Dupa Stik;14;9000;9000;0;126000;126000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
06/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKS Lemontea;Dks Lemontea;Dupa Stik;5;9000;9000;0;45000;45000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
06/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKS Vanilla;Dks Vanilla;Dupa Stik;5;9000;9000;0;45000;45000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
06/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKS Sakura;Dks Sakura;Dupa Stik;16;9000;9000;0;144000;144000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
08/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKS Blue Flower;Dks Blue Flower;Dupa Stik;20;9000;9000;0;180000;180000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
08/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKS Abdi Dalem;Dks Abdi Dalem;Dupa Stik;15;9000;9000;0;135000;135000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
08/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKS Cendana;Dks Cendana;Dupa Stik;15;9000;9000;0;135000;135000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
08/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKS Melati;Dks Melati;Dupa Stik;20;9000;9000;0;180000;180000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
08/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKS Gaharu;Dks Gaharu;Dupa Stik;15;9000;9000;0;135000;135000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
08/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKS Lemontea;Dks Lemontea;Dupa Stik;2;9000;9000;0;18000;18000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
08/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKS Baccarat;Dks Baccarat;Dupa Stik;5;9000;9000;0;45000;45000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
08/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKS Vanilla;Dks Vanilla;Dupa Stik;3;9000;9000;0;27000;27000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
